,Genus,value,Type
448,Acetanaerobacterium,NA,PC04924-MSA1003_Diff
449,Acidaminococcus,NA,PC04924-MSA1003_Diff
450,Actinobacillus,NA,PC04924-MSA1003_Diff
451,Adlercreutzia,NA,PC04924-MSA1003_Diff
452,Akkermansia,NA,PC04924-MSA1003_Diff
453,Alcaligenes,NA,PC04924-MSA1003_Diff
454,Alkanindiges,NA,PC04924-MSA1003_Diff
455,Alloprevotella,NA,PC04924-MSA1003_Diff
456,Anaerococcus,NA,PC04924-MSA1003_Diff
457,Anaerofilum,NA,PC04924-MSA1003_Diff
458,Anaerofustis,NA,PC04924-MSA1003_Diff
459,Anaeromyxobacter,NA,PC04924-MSA1003_Diff
460,Anaerosporobacter,NA,PC04924-MSA1003_Diff
461,Anaerotruncus,NA,PC04924-MSA1003_Diff
462,Arthrobacter,NA,PC04924-MSA1003_Diff
463,Atopobium,NA,PC04924-MSA1003_Diff
464,Azospirillum,NA,PC04924-MSA1003_Diff
465,Basidiomycota,NA,PC04924-MSA1003_Diff
466,Bergeyella,NA,PC04924-MSA1003_Diff
467,Blautia,NA,PC04924-MSA1003_Diff
468,Bradyrhizobium,NA,PC04924-MSA1003_Diff
469,Brevundimonas,NA,PC04924-MSA1003_Diff
470,Bryobacter,NA,PC04924-MSA1003_Diff
471,Butyricimonas,NA,PC04924-MSA1003_Diff
472,Campylobacter,NA,PC04924-MSA1003_Diff
473,Candidatus Planktophila,NA,PC04924-MSA1003_Diff
474,Capnocytophaga,NA,PC04924-MSA1003_Diff
475,Christensenella,NA,PC04924-MSA1003_Diff
476,Clostridium sensu stricto 1,NA,PC04924-MSA1003_Diff
477,Coprococcus,NA,PC04924-MSA1003_Diff
478,Corynebacterium,NA,PC04924-MSA1003_Diff
479,Desulfovibrio,NA,PC04924-MSA1003_Diff
480,Devosia,NA,PC04924-MSA1003_Diff
481,Dialister,NA,PC04924-MSA1003_Diff
482,Dolosigranulum,NA,PC04924-MSA1003_Diff
483,Dorea,NA,PC04924-MSA1003_Diff
484,Eggerthella,NA,PC04924-MSA1003_Diff
485,Eggerthia,NA,PC04924-MSA1003_Diff
486,Enterorhabdus,NA,PC04924-MSA1003_Diff
487,Faecalibacterium,NA,PC04924-MSA1003_Diff
488,Finegoldia,NA,PC04924-MSA1003_Diff
489,Flavonifractor,NA,PC04924-MSA1003_Diff
490,Gemella,NA,PC04924-MSA1003_Diff
491,Gordonibacter,NA,PC04924-MSA1003_Diff
492,Granulicatella,NA,PC04924-MSA1003_Diff
493,Haemophilus,NA,PC04924-MSA1003_Diff
494,Holdemania,NA,PC04924-MSA1003_Diff
495,Incertae Sedis,NA,PC04924-MSA1003_Diff
496,Intestinimonas,NA,PC04924-MSA1003_Diff
497,Lachnoanaerobaculum,NA,PC04924-MSA1003_Diff
